机型,网络,类型,版本,MD5,下载,大小,时间
魅蓝 Max,A（公开版）,体验版,Flyme 7.8.6.25 beta,bfd91ba79c0aae5a6b3cfa863b102be8,https://firmware.meizu.com/Firmware/Flyme/MAX/7.8.6.25/cn_beta/20180622193858/3b102be8/update.zip,1375MB,2018-06-25
魅蓝 Max,A（公开版）,体验版,Flyme 7.8.6.5 beta,fffe0c50e2d370c4bbcf0cd56e790ff1,https://firmware.meizu.com/Firmware/Flyme/MAX/7.8.6.5/cn_beta/20180601161757/6e790ff1/update.zip,1375MB,2018-06-05
魅蓝 Max,A（公开版）,出厂系统,Flyme 5.2.5.3A,5ef856e0115d6375c5eb09a56ba8fffe,http://firmware.meizu.com/Firmware/Flyme/M3_max/5.2.5.3/cn/20161122162351/6ba8fffe/update.zip,1190MB,2016-11-25
魅蓝 U20,A/Y（公开版）,稳定版 推荐,Flyme 6.3.0.3A,6ad27c32a5ed178c34c37f2929c3ec96,https://firmware.meizu.com/Firmware/Flyme/U20/6.3.0.3/cn/20190306094359/29c3ec96/update.zip,1303MB,2019-03-13
魅蓝 U20,A/Y（公开版）,体验版,Flyme 6.8.1.19 beta,d37fc6b4793ede002e0cf9f040d52c73,https://firmware.meizu.com/Firmware/Flyme/U20/6.8.1.19/cn_beta/20180119111808/40d52c73/update.zip,1285MB,2018-01-19
魅蓝 U20,A/Y（公开版）,体验版,Flyme 6.7.8.22 beta,fe1bca582a74cf651395e9c337e0d351,https://firmware.meizu.com/Firmware/Flyme/U20/6.7.8.22/cn_beta/20170816094505/37e0d351/update.zip,1274MB,2017-08-22
魅蓝 U20,A/Y（公开版）,出厂系统,Flyme 5.2.4.2Y,f79088435aaf0ba0f14004017474954b,http://firmware.meizu.com/Firmware/Flyme/U20/5.2.4.2/ali/20161108111615/7474954b/update.zip,1180MB,2016-11-11
魅蓝 U20,QY（电信版）,稳定版 推荐,Flyme 6.3.0.0A,EFD39C214251E92C62B08ABAAFF2DA9C,https://firmware.meizu.com/Firmware/Flyme/U20/6.3.0.0/cn/20180129013109/chong9e05b/update.zip,1290MB,2018-01-30
魅蓝 U20,QY（电信版）,出厂系统,Flyme 5.2.4.1QY,dbbd3a14986ff885c1394a796f618993,http://firmware.meizu.com/Firmware/Flyme/U20/5.2.4.1/ali/20161123131014/6f618993/update.zip,1180MB,2016-12-02
魅蓝 E,A/Y（公开版）,稳定版 推荐,Flyme 8.0.0.0A,5884f92b54d5ac72b0370a8fd00565bf,https://firmware.meizu.com/Firmware/Flyme/M1_E/8.0.0.0/cn/20191130021617/d00565bf/update.zip,1704MB,2019-12-06
魅蓝 E,A/Y（公开版）,体验版,Flyme 7.8.6.25 beta,06c2d19d1f9abd1a251d1bf4c057a7ab,https://firmware.meizu.com/Firmware/Flyme/M1_E/7.8.6.25/cn_beta/20180622194144/c057a7ab/update.zip,1375MB,2018-06-25
魅蓝 E,A/Y（公开版）,体验版,Flyme 7.8.6.5 beta,c33be4b2a563b866f32efea9856db419,https://firmware.meizu.com/Firmware/Flyme/M1_E/7.8.6.5/cn_beta/20180601104108/856db419/update.zip,1375MB,2018-06-05
魅蓝 E,A/Y（公开版）,出厂系统,Flyme 5.2.1.6Y,1462337cde9718615ab8abcf2b3a9740,http://firmware.meizu.com/Firmware/Flyme/M1_E/5.2.1.6/cn/20161012144041/2b3a9740/update.zip,1250MB,2016-10-24
魅蓝 E,A/Y（公开版）,出厂系统,Flyme 5.2.1.7Y 车控专版,987d25f1f8397da5a4d8eacd4b450064,http://firmware.meizu.com/Firmware/Flyme/M1_E/5.2.1.7/cn/20161021092910/4b450064/update.zip,1240MB,2016-10-21
魅蓝 E,MY（移动定制）,稳定版 推荐,Flyme 6.2.5.0A,F2A01A79FF04C1FFD88E22CE7AC405B6,https://firmware.meizu.com/Firmware/Flyme/M1_E/6.2.5.0/cn/20171225171234/ydsign676b/update.zip,1437MB,2017-12-26
魅蓝 E,MY（移动定制）,出厂系统,Flyme 5.2.1.1MY,963050d79eb1e722f703fb0368a789d0,http://firmware.meizu.com/Firmware/Flyme/M1_E/5.2.1.1/cmcc/20170210181201/68a789d0/update.zip,1200MB,2017-02-20
魅蓝 E,QY（电信版）,稳定版 推荐,Flyme 6.2.5.0A,2D7DC8AA625F00A0C4CD715C30B9AC02,https://firmware.meizu.com/Firmware/Flyme/M1_E/6.2.5.0/cn/20171225171234/dianxin568e/update.zip,1437MB,2017-12-26
魅蓝 E,QY（电信版）,出厂系统,Flyme 5.2.3.1QY,5b00e1cbea9c91241611298eaa36b48c,http://firmware.meizu.com/Firmware/Flyme/M1_E/5.2.3.1/tel/20160922193608/aa36b48c/update.zip,1230MB,2016-09-28
MX6,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,beff46a01c5ba05b07bb87b57d5d9960,https://firmware.meizu.com/Firmware/Flyme/MX6/8.0.0.0/cn/20191201013113/7d5d9960/update.zip,1733MB,2019-12-06
MX6,A（公开版）,体验版,Flyme 7.8.7.24 beta,d2ac190540408baed8c6a2b2cccc41ba,https://firmware.meizu.com/Firmware/Flyme/MX6/7.8.7.24/cn_beta/20180719183031/cccc41ba/update.zip,1535MB,2018-07-24
MX6,A（公开版）,体验版,Flyme 7.8.7.10 beta,febb5fe3207c4674fc3f9f7c4a2bbcda,https://firmware.meizu.com/Firmware/Flyme/MX6/7.8.7.10/cn_beta/20180706171435/4a2bbcda/update.zip,1535MB,2018-07-10
MX6,A（公开版）,出厂系统,Flyme 5.2.2.6A,579077691003dbab9dd383ee7fd45be0,http://firmware.meizu.com/Firmware/Flyme/MX6/5.2.2.6A/cn_stable/20160927152705/7fd45be0/update.zip,1100MB,2016-10-12
MX6,M（移动定制）,稳定版 推荐,Flyme 6.3.0.2A,558f4570b051d50bd8fb50a05bcf90b6,https://firmware.meizu.com/Firmware/Flyme/MX6/6.3.0.2/cn/20180327132929/5bcf90b6/update.zip,1526MB,2018-03-30
MX6,M（移动定制）,出厂系统,Flyme 5.2.2.2M,2679361fd8f08df53a366f27bbb0fec8,http://firmware.meizu.com/Firmware/Flyme/MX6/5.2.2.2/cmcc/20170407094827/bbb0fec8/update.zip,1155MB,2017-04-20
MX6,U（联通版）,稳定版 推荐,Flyme 6.3.0.2A,558f4570b051d50bd8fb50a05bcf90b6,https://firmware.meizu.com/Firmware/Flyme/MX6/6.3.0.2/cn/20180327132929/5bcf90b6/update.zip,1526MB,2018-03-30
MX6,U（联通版）,出厂系统,Flyme 5.2.2.1U,97effd4ec71233282ba99f819e6fef06,http://firmware.meizu.com/Firmware/Flyme/MX6/5.2.2.1/wo/20160820104253/9e6fef06/update.zip,1100MB,2016-09-14
MX6,Q（电信版）,稳定版 推荐,Flyme 6.3.0.2A,558f4570b051d50bd8fb50a05bcf90b6,https://firmware.meizu.com/Firmware/Flyme/MX6/6.3.0.2/cn/20180327132929/5bcf90b6/update.zip,1526MB,2018-03-30
MX6,Q（电信版）,出厂系统,Flyme 5.2.2.2Q,4b26c190908d6ba17c86d3a34849df28,http://firmware.meizu.com/Firmware/Flyme/MX6/5.2.2.2/tel/20160912103501/4849df28/update.zip,1100MB,2016-09-14
魅蓝 3s,A（公开版）,稳定版 推荐,Flyme 6.3.0.3A,832e294d0d3a9c0353161f06e5606d3e,https://firmware.meizu.com/Firmware/Flyme/m3s/6.3.0.3/cn/20190315120857/e5606d3e/update.zip,1354MB,2019-03-22
魅蓝 3s,A（公开版）,体验版,Flyme 7.8.7.24 beta,9a3d58b2780b48edbbd846aae748b9ba,https://firmware.meizu.com/Firmware/Flyme/m3s/7.8.7.24/cn_beta/20180725093945/e748b9ba/update.zip,1466MB,2018-07-26
魅蓝 3s,A（公开版）,体验版,Flyme 6.8.1.19 beta,a569701cfaf73d8c0911d20071238716,https://firmware.meizu.com/Firmware/Flyme/m3s/6.8.1.19/cn_beta/20180119110344/71238716/update.zip,1338MB,2018-01-19
魅蓝 3s,A（公开版）,体验版,Flyme 6.7.8.22 beta,27750faa51586318bd24cd32a9f84afc,https://firmware.meizu.com/Firmware/Flyme/m3s/6.7.8.22/cn_beta/20170816145308/a9f84afc/update.zip,1267MB,2017-08-22
魅蓝 3s,A（公开版）,出厂系统,Flyme 5.1.5.5A,5314205ba72aee4ca0a98a4b249aed06,http://firmware.meizu.com/Firmware/Flyme/M3S/5.1.5.5/cn/20161002141748/249aed06/update.zip,1100MB,2016-10-13
魅蓝 3s,Q（电信版）,稳定版 推荐,Flyme 6.3.0.3A,832e294d0d3a9c0353161f06e5606d3e,https://firmware.meizu.com/Firmware/Flyme/m3s/6.3.0.3/cn/20190315120857/e5606d3e/update.zip,1354MB,2019-03-22
魅蓝 3s,Q（电信版）,出厂系统,Flyme 5.1.5.2Q,84fefcad40a8b1f48a1f27aa042ea712,http://firmware.meizu.com/Firmware/Flyme/M3S/5.1.5.2/tel/20160830172442/042ea712/update.zip,1120MB,2016-09-21
魅蓝 3s,M（移动定制）,稳定版 推荐,Flyme 6.3.0.3A,832e294d0d3a9c0353161f06e5606d3e,https://firmware.meizu.com/Firmware/Flyme/m3s/6.3.0.3/cn/20190315120857/e5606d3e/update.zip,1354MB,2019-03-22
魅蓝 3s,M（移动定制）,出厂系统,Flyme 5.1.0.1M,cf0716e9ae78bf98bab36591a58cf712,http://firmware.meizu.com/Firmware/Flyme/M3S/5.1.0.1/mobile/20160830172708/a58cf712/update.zip,1040MB,2016-09-07
魅蓝 3,A/Y（公开版）,稳定版 推荐,Flyme 6.3.0.3A,81607e816e7c9c4b569afeb0352c73d7,https://firmware.meizu.com/Firmware/Flyme/m3/6.3.0.3/cn/20190315141242/352c73d7/update.zip,1249MB,2019-03-22
魅蓝 3,A/Y（公开版）,体验版,Flyme 7.8.7.24 beta,a606275042e68d66f02f19abe8dbf479,https://firmware.meizu.com/Firmware/Flyme/m3/7.8.7.24/cn_beta/20180724155256/e8dbf479/update.zip,1351MB,2018-07-26
魅蓝 3,A/Y（公开版）,体验版,Flyme 6.8.1.22 beta,80002118611ae98c29e4d0ff4cc3d5c8,https://firmware.meizu.com/Firmware/Flyme/m3/6.8.1.22/cn_beta/20180122093933/4cc3d5c8/update.zip,1234MB,2018-01-22
魅蓝 3,A/Y（公开版）,体验版,Flyme 6.7.8.22 beta,64f157d5ee3bafc376fe8743f1f214a9,https://firmware.meizu.com/Firmware/Flyme/m3/6.7.8.22/cn_beta/20170816094610/f1f214a9/update.zip,1223MB,2017-08-22
魅蓝 3,A/Y（公开版）,出厂系统,Flyme 5.1.4.2Y,c5cb75030d79c8059b1759be3da9e4ea,http://download.meizu.com/Firmware/Flyme/M3/5.1.4.2/cn/20160623171402/3da9e4ea/update.zip,1100MB,2016-07-07
魅蓝 3,UY（联通版）,稳定版 推荐,Flyme 6.3.0.3A,81607e816e7c9c4b569afeb0352c73d7,https://firmware.meizu.com/Firmware/Flyme/m3/6.3.0.3/cn/20190315141242/352c73d7/update.zip,1249MB,2019-03-22
魅蓝 3,UY（联通版）,出厂系统,Flyme 5.1.4.2UY,55fa5d795959eb24e34adb412abb1f04,http://download.meizu.com/Firmware/Flyme/M3/5.1.4.2/wo/20160628025250/2abb1f04/update.zip,1178MB,2016-07-15
魅蓝 3,QY（电信版）,稳定版 推荐,Flyme 6.3.0.3A,81607e816e7c9c4b569afeb0352c73d7,https://firmware.meizu.com/Firmware/Flyme/m3/6.3.0.3/cn/20190315141242/352c73d7/update.zip,1249MB,2019-03-22
魅蓝 3,QY（电信版）,体验版,Flyme 5.6.9.13 beta,da949db764aa66a4698f0bc51264d1e6,http://firmware.meizu.com/Firmware/Flyme/m3/5.6.9.13/cn_beta/20160912120727/1264d1e6/update.zip,1100MB,2016-09-13
魅蓝 3,QY（电信版）,出厂系统,Flyme 5.1.4.2QY,fcf2a7668b7ad4f6d1b57ef3dcb552e3,http://download.meizu.com/Firmware/Flyme/M3/5.1.4.2/tel/20160625020028/dcb552e3/update.zip,1126MB,2016-07-15
魅蓝 3,MY（移动定制）,稳定版 推荐,Flyme 6.3.0.3A,81607e816e7c9c4b569afeb0352c73d7,https://firmware.meizu.com/Firmware/Flyme/m3/6.3.0.3/cn/20190315141242/352c73d7/update.zip,1249MB,2019-03-22
魅蓝 3,MY（移动定制）,出厂系统,Flyme 5.1.0.1MY,b743a6569fa7c0309b9391c1cbe49410,http://download.meizu.com/Firmware/Flyme/M3/5.1.0.1/mobile/20160813133206/cbe49410/update.zip,1157MB,2016-07-01
PRO 6,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,d3bb9ce3d7de40faaa585dc5ea8dc9b8,https://firmware.meizu.com/Firmware/Flyme/PRO_6/8.0.0.0/cn/20191202092531/ea8dc9b8/update.zip,1732MB,2019-12-06
PRO 6,A（公开版）,体验版,Flyme 7.8.7.24 beta,597d4b9fa2bcb33eb56d17e63e369d16,https://firmware.meizu.com/Firmware/Flyme/PRO_6/7.8.7.24/cn_beta/20180719165021/3e369d16/update.zip,1554MB,2018-07-24
PRO 6,A（公开版）,体验版,Flyme 7.8.7.10 beta,4b3e81a1681531bdd6b3ef1b5922ff63,https://firmware.meizu.com/Firmware/Flyme/PRO_6/7.8.7.10/cn_beta/20180706171455/5922ff63/update.zip,1554MB,2018-07-10
PRO 6,A（公开版）,出厂系统,Flyme 5.2.2.1A,c8f19a46d4cdd27efc9e7ef3c047ad1e,http://firmware.meizu.com/Firmware/Flyme/PRO_6/5.2.2.1A/cn_stable/20160901095421/c047ad1e/update.zip,1330MB,2016-09-01
PRO 6,C（移动版）,稳定版 推荐,Flyme 6.3.0.2A,a30323bbcc26470e39ceb1ef1038aeee,https://firmware.meizu.com/Firmware/Flyme/PRO_6/6.3.0.2/cn/20180327102019/1038aeee/update.zip,1514MB,2018-03-30
PRO 6,C（移动版）,出厂系统,Flyme 5.2.0.1M,642a7a53353b080bdc0ba226a63072c6,http://download.meizu.com/Firmware/Flyme/PRO_6/5.2.0.1/cmcc/20160707205833/a63072c6/update.zip,1085MB,2016-07-12
PRO 6,C（移动版）,出厂系统,Flyme 5.2.1.0C,ebcdb5aae8211312b039ad9a5771ec7a,http://download.meizu.com/Firmware/Flyme/PRO_6/5.2.1.0/pl/20160613152635/5771ec7a/update.zip,1100MB,2016-06-17
PRO 6,Q（电信版）,稳定版 推荐,Flyme 6.3.0.2A,a30323bbcc26470e39ceb1ef1038aeee,https://firmware.meizu.com/Firmware/Flyme/PRO_6/6.3.0.2/cn/20180327102019/1038aeee/update.zip,1514MB,2018-03-30
PRO 6,Q（电信版）,出厂系统,Flyme 5.2.1.0Q,f9308df04d1fdd5b9611e0e533c61a53,http://download.meizu.com/Firmware/Flyme/PRO_6/5.2.1.0/tel/20160613151839/33c61a53/update.zip,1100MB,2016-06-17
魅蓝 Note3,A（公开版）,稳定版 推荐,Flyme 6.3.0.3A,c98bbeb1c6eab1766bf82ee2fab15ff8,https://firmware.meizu.com/Firmware/Flyme/m3_note/6.3.0.3/cn/20190325170724/fab15ff8/update.zip,1435MB,2019-03-26
魅蓝 Note3,A（公开版）,稳定版 推荐,Flyme 6.1.0.0A,ec817e750a5e49353cd91b767a4d3142,http://firmware.meizu.com/Firmware/Flyme/m3_note/6.1.0.0/cn/20170527183502/7a4d3142/update.zip,1170MB,2017-05-31
魅蓝 Note3,A（公开版）,体验版,Flyme 7.8.6.25 beta,164b6ed9d1ea99421993b2d7929e1be2,https://firmware.meizu.com/Firmware/Flyme/m3_note/7.8.6.25/cn_beta/20180623011431/929e1be2/update.zip,1521MB,2018-06-25
魅蓝 Note3,A（公开版）,出厂系统,Flyme 5.1.6.2A,69b365b8f4e5a9a20cd0ad03c5700c95,http://download.meizu.com/Firmware/Flyme/m3_note/5.1.6.2/cn/20161108050231/c5700c95/update.zip,1030MB,2016-11-23
魅蓝 Note3,Q（电信版）,稳定版 推荐,Flyme 6.3.0.3A,c98bbeb1c6eab1766bf82ee2fab15ff8,https://firmware.meizu.com/Firmware/Flyme/m3_note/6.3.0.3/cn/20190325170724/fab15ff8/update.zip,1435MB,2019-03-26
魅蓝 Note3,Q（电信版）,出厂系统,Flyme 5.1.5.0Q,9ca9f7986931beb008272b11052e0418,http://firmware.meizu.com/Firmware/Flyme/m3_note/5.1.5.0/tel/20161027114504/052e0418/update.zip,1030MB,2016-11-10
魅蓝 Note3,Q（电信版）,体验版,Flyme 5.6.9.13 beta,8dbcd18da7abf03ac2834af3b97b0973,http://firmware.meizu.com/Firmware/Flyme/m3_note/5.6.9.13/cn_beta/20160912100836/b97b0973/update.zip,1020MB,2016-09-13
魅蓝 Note3,M（移动定制）,稳定版 推荐,Flyme 6.3.0.3M,9329eaa9f7d8343d46ce1ceaec45b0bc,https://firmware.meizu.com/Firmware/Flyme/m3_note/6.3.0.3/cmcc/20190320182827/ec45b0bc/update.zip,1129MB,2019-03-25
魅蓝 Note3,M（移动定制）,稳定版 推荐,Flyme 6.1.0.1M,7f9fce8640b3dda5c298122cb079b038,http://firmware.meizu.com/Firmware/Flyme/m3_note/6.1.0.1/cmcc/20170616093642/b079b038/update.zip,967MB,2017-06-16
魅蓝 Note3,M（移动定制）,出厂系统,Flyme 5.1.3.0M,fd7d07bc4f7df292a450fe80cc3e6508,http://download.meizu.com/Firmware/Flyme/m3_note/5.1.3.0/mobile/20160805235942/cc3e6508/update.zip,1054MB,2016-08-23
魅蓝 metal ,A/Y（公开版）,体验版,Flyme 7.8.7.24 beta,0404b06754dca309b1e645d4c7e886e7,https://firmware.meizu.com/Firmware/Flyme/m1_metal/7.8.7.24/cn_beta/20180725095348/c7e886e7/update.zip,1085MB,2018-07-26
魅蓝 metal ,A/Y（公开版）,体验版,Flyme 6.8.1.24 beta,936bd4643c21fd2846454b4fc10c15e9,https://firmware.meizu.com/Firmware/Flyme/m1_metal/6.8.1.24/cn_beta/20180124100125/c10c15e9/update.zip,1172MB,2018-01-24
魅蓝 metal ,A/Y（公开版）,体验版,Flyme 6.7.8.22 beta,97cfced5bfe1a7c4f589bdbab790b0ac,https://firmware.meizu.com/Firmware/Flyme/m1_metal/6.7.8.22/cn_beta/20170821100125/b790b0ac/update.zip,1128MB,2017-08-22
魅蓝 metal ,A/Y（公开版）,稳定版 推荐,Flyme 6.3.0.2A,50cc004f2fbd4de54a26d5c9e56805b2,https://firmware.meizu.com/Firmware/Flyme/m1_metal/6.3.0.2/cn/20180305154433/e56805b2/update.zip,1183MB,2018-03-07
魅蓝 metal ,A/Y（公开版）,出厂系统,Flyme 5.1.2.0Y,6712178cd803084c70c484e91f7288e8,http://download.meizu.com/Firmware/Flyme/m1_metal/5.1.2.0/cn/20151226042143/1f7288e8/update.zip,967MB,2015-12-29
魅蓝 metal ,UY（联通版）,稳定版 推荐,Flyme 6.3.0.2A,50cc004f2fbd4de54a26d5c9e56805b2,https://firmware.meizu.com/Firmware/Flyme/m1_metal/6.3.0.2/cn/20180305154433/e56805b2/update.zip,1183MB,2018-03-07
魅蓝 metal ,UY（联通版）,出厂系统,Flyme 5.1.2.0UY,951f983eeccc6c49a99730c18b6ef88e,http://download.meizu.com/Firmware/Flyme/m1_metal/5.1.2.0/wo/20151226052008/8b6ef88e/update.zip,998MB,2015-12-29
魅蓝 metal ,QY（电信版）,稳定版 推荐,Flyme 5.1.0.6QY,7138c271dd062ab35b6b41aff5667cb2,http://download.meizu.com/Firmware/Flyme/M57AC/5.1.0.6/QY/20160328204821/7yfe38ba/update.zip,1000MB,2016-04-07
PRO 5,A（公开版）,稳定版 推荐,Flyme 8.0.0.0A,f69a308cf9c75599734e046521077e82,https://firmware.meizu.com/Firmware/Flyme/PRO_5/8.0.0.0/cn/20191202020244/21077e82/update.zip,1512MB,2019-12-06
PRO 5,A（公开版）,体验版,Flyme 7.8.7.24 beta,211e874477404b1da04d9a38ef249efa,https://firmware.meizu.com/Firmware/Flyme/PRO_5/7.8.7.24/cn_beta/20180719162221/ef249efa/update.zip,1312MB,2018-07-24
PRO 5,A（公开版）,体验版,Flyme 7.8.7.10 beta,36c191fb4041a7e0cb98ac0ff71753a5,https://firmware.meizu.com/Firmware/Flyme/PRO_5/7.8.7.10/cn_beta/20180706180529/f71753a5/update.zip,1311MB,2018-07-10
PRO 5,A（公开版）,出厂系统,Flyme 5.1.2.0A,201243c2eef790025d8db36311efe558,http://download.meizu.com/Firmware/Flyme/PRO_5/5.1.2.0/cn/20151225111436/11efe558/update.zip,885MB,2015-12-29
PRO 5,U（联通版）,稳定版 推荐,Flyme 6.3.0.2A,736abd4e82f85cca9650fe8c6a9fae77,https://firmware.meizu.com/Firmware/Flyme/PRO_5/6.3.0.2/cn/20180328170230/6a9fae77/update.zip,1223MB,2018-04-12
PRO 5,U（联通版）,出厂系统,Flyme 5.1.1.0U,63301bececc0192f661150ce75ef7497,http://download.meizu.com/Firmware/Flyme/PRO_5/5.1.1.0/wo/20151127142219/75ef7497/update.zip,922MB,2015-12-17
魅蓝 2,A/Y（公开版）,稳定版 推荐,Flyme 6.3.0.3A,2dd0f8017b43a7afb42a94958cedc93c,https://firmware.meizu.com/Firmware/Flyme/m2/6.3.0.3/cn/20190306093057/8cedc93c/update.zip,1133MB,2019-03-13
魅蓝 2,A/Y（公开版）,体验版,Flyme 6.8.1.19 beta,73acfb6d926b2204f00cb5c0d0c33572,https://firmware.meizu.com/Firmware/Flyme/m2/6.8.1.19/cn_beta/20180119113907/d0c33572/update.zip,1118MB,2018-01-19
魅蓝 2,A/Y（公开版）,体验版,Flyme 6.7.8.22 beta,4fc313018464b1f00d19e20ebe4f6bee,https://firmware.meizu.com/Firmware/Flyme/m2/6.7.8.22/cn_beta/20170816145247/be4f6bee/update.zip,1100MB,2017-08-22
魅蓝 2,A/Y（公开版）,出厂系统,Flyme 4.5.4.1Y,f5958cb4fda01676768c69157b0bedaf,http://download.meizu.com/Firmware/Flyme/m2/4.5.4.1/pby/20151208195405/7b0bedaf/update.zip,894MB,2015-12-29
